Category,Name,User_Rating,User_Votes,Year_Started,Show_url
Action & Adventure,The Legend of Korra,8,1304,2012,http://www.tv.com/shows/avatar-the-legend-of-korra/
Animation,The Legend of Korra,8,1304,2012,http://www.tv.com/shows/avatar-the-legend-of-korra/
Kids,The Legend of Korra,8,1304,2012,http://www.tv.com/shows/avatar-the-legend-of-korra/
Action & Adventure,Teen Wolf,8.7,1497,2011,http://www.tv.com/shows/teen-wolf-2011/
Drama,Teen Wolf,8.7,1497,2011,http://www.tv.com/shows/teen-wolf-2011/
Horror,Teen Wolf,8.7,1497,2011,http://www.tv.com/shows/teen-wolf-2011/
Drama,Pretty Little Liars,8.6,2076,2010,http://www.tv.com/shows/pretty-little-liars/
Action & Adventure,Game of Thrones,9,7741,2011,http://www.tv.com/shows/game-of-thrones/
Drama,Game of Thrones,9,7741,2011,http://www.tv.com/shows/game-of-thrones/
Fantasy,Game of Thrones,9,7741,2011,http://www.tv.com/shows/game-of-thrones/
Science Fiction,Under the Dome,7.2,965,2013,http://www.tv.com/shows/under-the-dome/
Action & Adventure,Arrow,8.9,2911,2012,http://www.tv.com/shows/arrow/
Drama,Arrow,8.9,2911,2012,http://www.tv.com/shows/arrow/
Comedy,How I Met Your Mother,9,18735,2005,http://www.tv.com/shows/how-i-met-your-mother/
Drama,True Blood,8.6,11242,2008,http://www.tv.com/shows/true-blood/
Fantasy,True Blood,8.6,11242,2008,http://www.tv.com/shows/true-blood/
Horror,True Blood,8.6,11242,2008,http://www.tv.com/shows/true-blood/
Arts,The Primetime Emmy Awards,7.2,96,1949,http://www.tv.com/shows/the-primetime-emmy-awards/
Events & Specials,The Primetime Emmy Awards,7.2,96,1949,http://www.tv.com/shows/the-primetime-emmy-awards/
Comedy,The Big Bang Theory,9,16060,2007,http://www.tv.com/shows/the-big-bang-theory/
Drama,Suits,8.6,2538,2011,http://www.tv.com/shows/suits-2011/
Action & Adventure,24,9,23902,2001,http://www.tv.com/shows/24/
Drama,24,9,23902,2001,http://www.tv.com/shows/24/
Fantasy,Supernatural,9.1,27266,2005,http://www.tv.com/shows/supernatural/
Horror,Supernatural,9.1,27266,2005,http://www.tv.com/shows/supernatural/
Comedy,Orange is the New Black,9,532,2013,http://www.tv.com/shows/orange-is-the-new-black/
Drama,Breaking Bad,9,6662,2008,http://www.tv.com/shows/breaking-bad/
Suspense,Breaking Bad,9,6662,2008,http://www.tv.com/shows/breaking-bad/
Action & Adventure,Criminal Minds,8.8,11712,2005,http://www.tv.com/shows/criminal-minds/
Drama,Criminal Minds,8.8,11712,2005,http://www.tv.com/shows/criminal-minds/
Suspense,Criminal Minds,8.8,11712,2005,http://www.tv.com/shows/criminal-minds/
Drama,True Detective,9.3,680,2014,http://www.tv.com/shows/true-detective/
Drama,Grey's Anatomy,8.8,24241,2005,http://www.tv.com/shows/greys-anatomy/
Action & Adventure,Falling Skies,7.5,2216,2011,http://www.tv.com/shows/falling-skies/
Drama,Falling Skies,7.5,2216,2011,http://www.tv.com/shows/falling-skies/
Science Fiction,Falling Skies,7.5,2216,2011,http://www.tv.com/shows/falling-skies/
Suspense,Falling Skies,7.5,2216,2011,http://www.tv.com/shows/falling-skies/
Action & Adventure,24: Live Another Day,9.5,262,2005,http://www.tv.com/shows/24-live-another-day/
Drama,24: Live Another Day,9.5,262,2005,http://www.tv.com/shows/24-live-another-day/
Drama,Beauty and the Beast,8.5,771,2012,http://www.tv.com/shows/beauty-and-the-beast-2012/
Drama,Gossip Girl,8.5,11112,2006,http://www.tv.com/shows/gossip-girl/
Game Show,WWE Monday Night RAW,8.6,2959,1993,http://www.tv.com/shows/wwe-monday-night-raw/
Sports,WWE Monday Night RAW,8.6,2959,1993,http://www.tv.com/shows/wwe-monday-night-raw/
Action & Adventure,The Last Ship,7.8,122,2014,http://www.tv.com/shows/the-last-ship/
Drama,The Last Ship,7.8,122,2014,http://www.tv.com/shows/the-last-ship/
Science Fiction,The Last Ship,7.8,122,2014,http://www.tv.com/shows/the-last-ship/
Fantasy,Dominion,7.6,163,2014,http://www.tv.com/shows/dominion/
Science Fiction,Dominion,7.6,163,2014,http://www.tv.com/shows/dominion/
Action & Adventure,Naruto Shippuden,7.3,1359,2007,http://www.tv.com/shows/naruto-shippuden/
Animation,Naruto Shippuden,7.3,1359,2007,http://www.tv.com/shows/naruto-shippuden/
Fantasy,Naruto Shippuden,7.3,1359,2007,http://www.tv.com/shows/naruto-shippuden/
Drama,Sherlock,8.8,2853,2010,http://www.tv.com/shows/sherlock/
Suspense,Sherlock,8.8,2853,2010,http://www.tv.com/shows/sherlock/
Drama,CSI: Crime Scene Investigation,8.9,21712,2000,http://www.tv.com/shows/csi-crime-scene-investigation/
Suspense,CSI: Crime Scene Investigation,8.9,21712,2000,http://www.tv.com/shows/csi-crime-scene-investigation/
Action & Adventure,Naruto,8.8,12075,1998,http://www.tv.com/shows/naruto/
Animation,Naruto,8.8,12075,1998,http://www.tv.com/shows/naruto/
Fantasy,Naruto,8.8,12075,1998,http://www.tv.com/shows/naruto/
Animation,South Park,9,21119,1997,http://www.tv.com/shows/south-park/
Comedy,South Park,9,21119,1997,http://www.tv.com/shows/south-park/
Drama,One Tree Hill,8.7,15824,2003,http://www.tv.com/shows/one-tree-hill/
Drama,Heartland,8.6,389,2007,http://www.tv.com/shows/heartland/
Drama,The Leftovers,7,86,2014,http://www.tv.com/shows/the-leftovers/
Action & Adventure,Longmire,7.9,334,2012,http://www.tv.com/shows/longmire/
Drama,Longmire,7.9,334,2012,http://www.tv.com/shows/longmire/
Action & Adventure,White Collar,8.4,3448,2009,http://www.tv.com/shows/white-collar/
Drama,White Collar,8.4,3448,2009,http://www.tv.com/shows/white-collar/
Suspense,White Collar,8.4,3448,2009,http://www.tv.com/shows/white-collar/
Animation,Yu-Gi-Oh!,8.6,2522,2001,http://www.tv.com/shows/yu-gi-oh/
Comedy,Yu-Gi-Oh!,8.6,2522,2001,http://www.tv.com/shows/yu-gi-oh/
Kids,Yu-Gi-Oh!,8.6,2522,2001,http://www.tv.com/shows/yu-gi-oh/
Drama,Sex and the City,8.6,5097,1998,http://www.tv.com/shows/sex-and-the-city/
Action & Adventure,Gotham,NA,NA,NA,http://www.tv.com/shows/gotham/
Action & Adventure,Gotham,NA,NA,2014,http://www.tv.com/shows/gotham/
Drama,Gotham,NA,NA,2014,http://www.tv.com/shows/gotham/
Action & Adventure,Hawaii Five-0,7.8,2532,2010,http://www.tv.com/shows/hawaii-five-0/
Drama,Hawaii Five-0,7.8,2532,2010,http://www.tv.com/shows/hawaii-five-0/
Suspense,Hawaii Five-0,7.8,2532,2010,http://www.tv.com/shows/hawaii-five-0/
Drama,Days of our Lives,7.9,1858,1965,http://www.tv.com/shows/days-of-our-lives/
Action & Adventure,Lost,9.1,46950,2004,http://www.tv.com/shows/lost/
Drama,Lost,9.1,46950,2004,http://www.tv.com/shows/lost/
Fantasy,Lost,9.1,46950,2004,http://www.tv.com/shows/lost/
Science Fiction,Lost,9.1,46950,2004,http://www.tv.com/shows/lost/
Drama,Keeping Up with the Kardashians,6.1,477,2007,http://www.tv.com/shows/keeping-up-with-the-kardashians/
Reality,Keeping Up with the Kardashians,6.1,477,2007,http://www.tv.com/shows/keeping-up-with-the-kardashians/
Comedy,Gilmore Girls,9,14261,2000,http://www.tv.com/shows/gilmore-girls/
Drama,Gilmore Girls,9,14261,2000,http://www.tv.com/shows/gilmore-girls/
Science Fiction,Continuum,8.8,1370,2012,http://www.tv.com/shows/continuum-2012/
Drama,The Originals,8.9,699,2013,http://www.tv.com/shows/the-originals-2013/
Fantasy,The Originals,8.9,699,2013,http://www.tv.com/shows/the-originals-2013/
Horror,The Originals,8.9,699,2013,http://www.tv.com/shows/the-originals-2013/
Comedy,The Night Shift,7.5,81,NA,http://www.tv.com/shows/the-night-shift-2013/
Drama,The Night Shift,7.5,81,NA,http://www.tv.com/shows/the-night-shift-2013/
Comedy,Psych,8.9,8268,2006,http://www.tv.com/shows/psych/
Drama,Power,8.3,35,2014,http://www.tv.com/shows/power/
NA,Charmed,8.8,14406,1998,http://www.tv.com/shows/charmed/
NA,Seinfeld,9.1,11150,1989,http://www.tv.com/shows/seinfeld/
Drama,Devious Maids,8.7,129,2013,http://www.tv.com/shows/devious-maids/
Action & Adventure,Dragon Ball Z,8.8,5478,1986,http://www.tv.com/shows/dragon-ball-z/
