"shows_names","shows_url"
"The Legend of Korra","http://www.tv.com/shows/avatar-the-legend-of-korra/"
"Teen Wolf","http://www.tv.com/shows/teen-wolf-2011/"
"Pretty Little Liars","http://www.tv.com/shows/pretty-little-liars/"
"Game of Thrones","http://www.tv.com/shows/game-of-thrones/"
"Under the Dome","http://www.tv.com/shows/under-the-dome/"
"Arrow","http://www.tv.com/shows/arrow/"
"How I Met Your Mother","http://www.tv.com/shows/how-i-met-your-mother/"
"True Blood","http://www.tv.com/shows/true-blood/"
"The Primetime Emmy Awards","http://www.tv.com/shows/the-primetime-emmy-awards/"
"The Big Bang Theory","http://www.tv.com/shows/the-big-bang-theory/"
"Suits","http://www.tv.com/shows/suits-2011/"
"24","http://www.tv.com/shows/24/"
"Supernatural","http://www.tv.com/shows/supernatural/"
"Orange is the New Black","http://www.tv.com/shows/orange-is-the-new-black/"
"Breaking Bad","http://www.tv.com/shows/breaking-bad/"
"Criminal Minds","http://www.tv.com/shows/criminal-minds/"
"True Detective","http://www.tv.com/shows/true-detective/"
"Grey's Anatomy","http://www.tv.com/shows/greys-anatomy/"
"Falling Skies","http://www.tv.com/shows/falling-skies/"
"24: Live Another Day","http://www.tv.com/shows/24-live-another-day/"
"Beauty and the Beast","http://www.tv.com/shows/beauty-and-the-beast-2012/"
"Gossip Girl","http://www.tv.com/shows/gossip-girl/"
"WWE Monday Night RAW","http://www.tv.com/shows/wwe-monday-night-raw/"
"The Last Ship","http://www.tv.com/shows/the-last-ship/"
"Dominion","http://www.tv.com/shows/dominion/"
"Naruto Shippuden","http://www.tv.com/shows/naruto-shippuden/"
"Sherlock","http://www.tv.com/shows/sherlock/"
"CSI: Crime Scene Investigation","http://www.tv.com/shows/csi-crime-scene-investigation/"
"Naruto","http://www.tv.com/shows/naruto/"
"South Park","http://www.tv.com/shows/south-park/"
"One Tree Hill","http://www.tv.com/shows/one-tree-hill/"
"Heartland","http://www.tv.com/shows/heartland/"
"The Leftovers","http://www.tv.com/shows/the-leftovers/"
"Longmire","http://www.tv.com/shows/longmire/"
"White Collar","http://www.tv.com/shows/white-collar/"
"Yu-Gi-Oh!","http://www.tv.com/shows/yu-gi-oh/"
"Sex and the City","http://www.tv.com/shows/sex-and-the-city/"
"Gotham","http://www.tv.com/shows/gotham/"
"Hawaii Five-0","http://www.tv.com/shows/hawaii-five-0/"
"Days of our Lives","http://www.tv.com/shows/days-of-our-lives/"
"Lost","http://www.tv.com/shows/lost/"
"Keeping Up with the Kardashians","http://www.tv.com/shows/keeping-up-with-the-kardashians/"
"Gilmore Girls","http://www.tv.com/shows/gilmore-girls/"
"Continuum","http://www.tv.com/shows/continuum-2012/"
"The Originals","http://www.tv.com/shows/the-originals-2013/"
"The Night Shift","http://www.tv.com/shows/the-night-shift-2013/"
"Psych","http://www.tv.com/shows/psych/"
"Power","http://www.tv.com/shows/power/"
"Charmed","http://www.tv.com/shows/charmed/"
"Seinfeld","http://www.tv.com/shows/seinfeld/"
"Devious Maids","http://www.tv.com/shows/devious-maids/"
"Dragon Ball Z","http://www.tv.com/shows/dragon-ball-z/"
"Californication","http://www.tv.com/shows/californication/"
"Stargate SG-1","http://www.tv.com/shows/stargate-sg-1/"
"Believe","http://www.tv.com/shows/believe/"
"Masters of Sex","http://www.tv.com/shows/masters-of-sex/"
"Desperate Housewives","http://www.tv.com/shows/desperate-housewives/"
"Avatar: The Last Airbender","http://www.tv.com/shows/avatar-the-last-airbender/"
"The Fosters","http://www.tv.com/shows/the-fosters-2013/"
"Sleepy Hollow","http://www.tv.com/shows/sleepy-hollow/"
"Downton Abbey","http://www.tv.com/shows/downton-abbey/"
"Today Show","http://www.tv.com/shows/the-today-show/"
"The Tonight Show Starring Jimmy Fallon","http://www.tv.com/shows/the-tonight-show-starring-jimmy-fallon/"
"American Dad!","http://www.tv.com/shows/american-dad/"
"Tyrant","http://www.tv.com/shows/tyrant/"
"That '70s Show","http://www.tv.com/shows/that-70s-show/"
"Hell on Wheels","http://www.tv.com/shows/hell-on-wheels/"
"The Haves and the Have Nots","http://www.tv.com/shows/the-haves-and-the-have-nots/"
"So You Think You Can Dance","http://www.tv.com/shows/so-you-think-you-can-dance/"
"Saturday Night Live","http://www.tv.com/shows/saturday-night-live/"
"This Old House","http://www.tv.com/shows/this-old-house/"
"Charlie Rose","http://www.tv.com/shows/charlie-rose/"
"Futurama","http://www.tv.com/shows/futurama/"
"Doc Martin","http://www.tv.com/shows/doc-martin/"
